Municipality,Year,Indy_percent,Unio_percent
Aiguaviva,1984,88.14,7.34
Aiguaviva,1988,87.22,10
Aiguaviva,1992,93.91,5.08
Aiguaviva,1995,79.58,19.17
Aiguaviva,1999,79.11,18.15
Aiguaviva,2003,75.14,22.86
Aiguaviva,2006,66.99,29.45
Aiguaviva,2010,63.27,17.09
Aiguaviva,2012,79.2,17.02
Aiguaviva,2015,77.42,18.75
Aitona,1980,34.49,25.11
Aitona,1984,61.5,36.63
Aitona,1988,52.52,35.38
Aitona,1992,55.04,42.78
Aitona,1995,65.36,33.77
Aitona,1999,67.6,31.46
Aitona,2003,63.88,35.25
Aitona,2006,62.26,36.73
Aitona,2010,60.79,32.62
Aitona,2012,72.47,24.13
Aitona,2015,69.28,26.19
"Alamús, els",1980,58.13,20.42
"Alamús, els",1984,72.89,19.24
"Alamús, els",1988,66.02,25.24
"Alamús, els",1992,73.45,22.12
"Alamús, els",1995,74.81,24.18
"Alamús, els",1999,61.35,37.12
"Alamús, els",2003,62.07,37.72
"Alamús, els",2006,62.29,37.47
"Alamús, els",2010,61.83,27.48
"Alamús, els",2012,79.22,17.85
"Alamús, els",2015,73.53,21.85
Alàs i Cerc,1980,52.04,16.33
Alàs i Cerc,1984,94.21,1.93
Alàs i Cerc,1988,84.83,8.53
Alàs i Cerc,1992,87.5,8.85
Alàs i Cerc,1995,81.64,17.87
Alàs i Cerc,1999,77.25,21.89
Alàs i Cerc,2003,79.35,20.65
Alàs i Cerc,2006,73.25,25.88
Alàs i Cerc,2010,72.49,21.16
Alàs i Cerc,2012,81.07,16.99
Alàs i Cerc,2015,75.12,19.72
"Albagés, l'",1980,12.54,46.72
"Albagés, l'",1984,40.28,54.65
"Albagés, l'",1988,35.11,42.63
"Albagés, l'",1992,61.02,33.56
"Albagés, l'",1995,55.77,42.95
"Albagés, l'",1999,56.82,42.21
"Albagés, l'",2003,58.82,40.52
"Albagés, l'",2006,52.51,44.4
"Albagés, l'",2010,50.82,39.34
"Albagés, l'",2012,59.51,35.63
"Albagés, l'",2015,60.15,36.16
Albanyà,1980,37.68,39.13
Albanyà,1984,66.1,25.42
Albanyà,1988,73.21,17.86
Albanyà,1992,92.19,6.25
Albanyà,1995,91.89,8.11
Albanyà,1999,87.32,9.86
Albanyà,2003,83.33,16.67
Albanyà,2006,74.19,25.81
Albanyà,2010,63.64,13.64
Albanyà,2012,79.52,15.66
Albanyà,2015,88.37,10.47
Albatàrrec,1980,25.58,54.42
Albatàrrec,1984,53.18,43.92
Albatàrrec,1988,49.81,47.51
Albatàrrec,1992,55.43,39.62
Albatàrrec,1995,61.93,37.89
Albatàrrec,1999,60,38.24
Albatàrrec,2003,62.46,36.69
Albatàrrec,2006,61.86,37.67
Albatàrrec,2010,58.97,30.06
Albatàrrec,2012,64.01,31.28
Albatàrrec,2015,60.68,34.76
Albesa,1980,37.52,37.52
Albesa,1984,74.56,23.69
Albesa,1988,74.48,21.99
Albesa,1992,77.7,20.59
Albesa,1995,68.27,31.3
Albesa,1999,69.12,28.55
Albesa,2003,70.86,28.28
Albesa,2006,70.58,27.7
Albesa,2010,69.34,23.11
Albesa,2012,76.27,21.24
Albesa,2015,75.34,22.36
"Albi, l'",1980,24.58,41.18
"Albi, l'",1984,47.33,49.5
"Albi, l'",1988,45.53,51.49
"Albi, l'",1992,66.16,31.57
"Albi, l'",1995,63.53,36.27
"Albi, l'",1999,68.75,30.04
"Albi, l'",2003,73.05,25.59
"Albi, l'",2006,68.46,30.87
"Albi, l'",2010,68.42,25.22
"Albi, l'",2012,75.62,23.35
"Albi, l'",2015,72.16,22.92
Albinyana,1980,47.67,44.57
Albinyana,1984,58.51,40.25
Albinyana,1988,64.71,29.41
Albinyana,1992,57.25,39.8
Albinyana,1995,59.27,39.86
Albinyana,1999,57.69,41.03
Albinyana,2003,57,42.32
Albinyana,2006,53.43,45.16
Albinyana,2010,48.95,45.25
Albinyana,2012,44.47,51.45
Albinyana,2015,35.62,60.83
"Albiol, l'",1980,40.74,33.33
"Albiol, l'",1984,27.59,68.97
"Albiol, l'",1988,65,30
"Albiol, l'",1992,76.47,17.65
"Albiol, l'",1995,71.21,28.79
"Albiol, l'",1999,62.96,34.57
"Albiol, l'",2003,47.75,48.65
"Albiol, l'",2006,47.62,47.62
"Albiol, l'",2010,40,50
"Albiol, l'",2012,53.64,40.91
"Albiol, l'",2015,54.09,43.97
Albons,1980,47.12,31.53
Albons,1984,71.79,25.08
Albons,1988,66.67,24.44
Albons,1992,70.04,22.1
Albons,1995,71.52,27.53
Albons,1999,68.28,27.79
Albons,2003,64.22,32.42
Albons,2006,62.66,32.47
Albons,2010,61.77,24.77
Albons,2012,74.74,20.79
Albons,2015,79.1,18.65
Alcanar,1980,16.9,35.64
Alcanar,1984,52.01,45.64
Alcanar,1988,51.79,40.93
Alcanar,1992,54.84,41.12
Alcanar,1995,60.62,39.07
Alcanar,1999,65.14,33.12
Alcanar,2003,59.05,40.37
Alcanar,2006,59.02,39.28
Alcanar,2010,58.54,33.77
Alcanar,2012,65.35,31.03
Alcanar,2015,64.69,32.44
Alcanó,1980,57.43,13.51
Alcanó,1984,33.9,64.97
Alcanó,1988,34.62,57.69
Alcanó,1992,67.39,28.26
Alcanó,1995,68.84,27.54
Alcanó,1999,78.23,19.73
Alcanó,2003,74.68,24.68
Alcanó,2006,73.5,23.93
Alcanó,2010,66.09,25.22
Alcanó,2012,81.89,16.54
Alcanó,2015,84.91,9.43
Alcarràs,1980,39.39,29.29
Alcarràs,1984,60.29,33.03
Alcarràs,1988,59.23,32.79
Alcarràs,1992,66.11,29.89
Alcarràs,1995,71.71,28.01
Alcarràs,1999,70.39,28.34
Alcarràs,2003,72.34,26.2
Alcarràs,2006,66.61,32.39
Alcarràs,2010,61.45,28.64
Alcarràs,2012,66.15,28.4
Alcarràs,2015,65.46,30.75
Alcoletge,1980,51.81,27.14
Alcoletge,1984,71.45,24.26
Alcoletge,1988,62.21,31.69
Alcoletge,1992,67.83,30
Alcoletge,1995,70.42,29.35
Alcoletge,1999,66.94,32
Alcoletge,2003,65.5,33.44
Alcoletge,2006,60.14,38.26
Alcoletge,2010,57.07,33.22
Alcoletge,2012,58.49,35.27
Alcoletge,2015,58.3,36.99
Alcover,1980,48.86,33.35
Alcover,1984,68.02,29.19
Alcover,1988,62.83,31.45
Alcover,1992,64.49,32.21
Alcover,1995,64.51,35.15
Alcover,1999,56.9,41.04
Alcover,2003,58.05,41.22
Alcover,2006,56.52,41.66
Alcover,2010,51.9,34.4
Alcover,2012,58.8,33.13
Alcover,2015,59.71,36.8
"Aldea, l'",1984,51.62,43.97
"Aldea, l'",1988,44.98,46.14
"Aldea, l'",1992,56.55,38.1
"Aldea, l'",1995,54.24,45.16
"Aldea, l'",1999,61.35,38.08
"Aldea, l'",2003,67.13,32.16
"Aldea, l'",2006,61.81,36.57
"Aldea, l'",2010,63.11,29.16
"Aldea, l'",2012,64.78,30.16
"Aldea, l'",2015,62.85,32.41
Aldover,1980,32.09,25.12
Aldover,1984,47.52,52.27
Aldover,1988,44.13,51.28
Aldover,1992,42.83,53.2
Aldover,1995,47.79,52.02
Aldover,1999,51.53,47.53
Aldover,2003,51.69,47.12
Aldover,2006,45.2,52.22
Aldover,2010,42.44,49.27
Aldover,2012,59.54,37.01
Aldover,2015,61.42,34.84
"Aleixar, l'",1980,56.91,32.6
"Aleixar, l'",1984,67.19,26.82
"Aleixar, l'",1988,62.1,34.47
"Aleixar, l'",1992,77.32,19.85
"Aleixar, l'",1995,75.45,24.55
"Aleixar, l'",1999,74.36,23.85
"Aleixar, l'",2003,75.44,24.56
"Aleixar, l'",2006,70.6,26.75
"Aleixar, l'",2010,67.91,21.98
"Aleixar, l'",2012,75.94,21.55
"Aleixar, l'",2015,71.95,23.6
Alella,1980,54.4,28.85
Alella,1984,69,28.63
Alella,1988,65.89,28.93
Alella,1992,71.52,25.31
Alella,1995,66.64,32.36
Alella,1999,62.12,35.84
Alella,2003,61.56,37.37
Alella,2006,58.95,38.79
Alella,2010,59.96,31.12
Alella,2012,64.34,31.92
Alella,2015,61.93,33.88
Alfara de Carles,1980,6.32,47.89
Alfara de Carles,1984,27.08,70.31
Alfara de Carles,1988,69.08,29.47
Alfara de Carles,1992,68.8,29.6
Alfara de Carles,1995,68.27,31
Alfara de Carles,1999,65.44,34.1
Alfara de Carles,2003,63.95,36.05
Alfara de Carles,2006,59.73,39.38
Alfara de Carles,2010,43.2,49.51
Alfara de Carles,2012,52.22,45
Alfara de Carles,2015,50.76,47.21
Alfarràs,1980,29.98,45.69
Alfarràs,1984,60.44,36.07
Alfarràs,1988,52.44,40.61
Alfarràs,1992,60.21,35.62
Alfarràs,1995,58.7,40.88
Alfarràs,1999,55.46,43.32
Alfarràs,2003,56.08,42.69
Alfarràs,2006,53.32,45.67
Alfarràs,2010,49.44,42.89
Alfarràs,2012,52.48,43.09
Alfarràs,2015,50.07,45.48
Alfés,1980,51.85,18.52
Alfés,1984,68.52,19.75
Alfés,1988,71.43,26.32
Alfés,1992,71.93,22.81
Alfés,1995,77.67,21.84
Alfés,1999,78.89,18.59
Alfés,2003,81.68,16.23
Alfés,2006,75.72,20.81
Alfés,2010,69.77,15.12
Alfés,2012,86.67,10.56
Alfés,2015,86.79,11.79
Alforja,1980,45.14,48.91
Alforja,1984,55.83,39.64
Alforja,1988,56.73,41.12
Alforja,1992,65.35,34.18
Alforja,1995,65.16,34.45
Alforja,1999,63.54,35.32
Alforja,2003,63.8,35.58
Alforja,2006,52.8,45.38
Alforja,2010,53.92,32.45
Alforja,2012,66.7,27.91
Alforja,2015,67.01,30.82
Algerri,1980,46.07,25.84
Algerri,1984,77.93,19.55
Algerri,1988,71.43,22.19
Algerri,1992,79.81,17.08
Algerri,1995,71.88,27.54
Algerri,1999,60.49,36.78
Algerri,2003,72.01,26.82
Algerri,2006,69.76,28.87
Algerri,2010,65.1,25.1
Algerri,2012,77.91,20.93
Algerri,2015,76.12,17.3
Alguaire,1980,40.83,35.48
Alguaire,1984,62.8,32.13
Alguaire,1988,61.21,31.62
Alguaire,1992,69.43,26.39
Alguaire,1995,70.88,28.32
Alguaire,1999,67.54,31.07
Alguaire,2003,71.39,27.75
Alguaire,2006,66.95,31.6
Alguaire,2010,67.88,25.21
Alguaire,2012,74.59,21.72
Alguaire,2015,74.4,20.68
Alins,1980,54.35,21.74
Alins,1984,87.98,10.58
Alins,1988,67.7,26.71
Alins,1992,70.24,27.38
Alins,1995,66.85,33.15
Alins,1999,62.09,37.91
Alins,2003,65.91,32.95
Alins,2006,70.19,29.81
Alins,2010,64.57,24
Alins,2012,85.48,12.9
Alins,2015,87.43,9.42
Alió,1980,39.38,29.53
Alió,1984,66.99,30.14
Alió,1988,65.93,32.42
Alió,1992,69.03,27.1
Alió,1995,63.87,35.08
Alió,1999,64.32,34.27
Alió,2003,70.93,27.75
Alió,2006,67.65,30.88
Alió,2010,64.32,24.62
Alió,2012,70.7,23.83
Alió,2015,68.9,25.8
Almacelles,1980,33.9,40.34
Almacelles,1984,50.56,42.7
Almacelles,1988,46.56,43.85
Almacelles,1992,55.14,39.32
Almacelles,1995,51.5,48.1
Almacelles,1999,56.16,42.03
Almacelles,2003,62.16,36.9
Almacelles,2006,52.2,46.08
Almacelles,2010,55.98,36.29
Almacelles,2012,55.84,40.91
Almacelles,2015,52.56,42.29
Almatret,1980,47.98,29.92
Almatret,1984,47.92,47.6
Almatret,1988,58.82,36.27
Almatret,1992,73.24,25.75
Almatret,1995,66.06,33.64
Almatret,1999,63.04,36.23
Almatret,2003,66.56,32.5
Almatret,2006,60.87,38.74
Almatret,2010,59.41,34.65
Almatret,2012,75.77,22.47
Almatret,2015,78.06,19.41
Almenar,1980,36.69,39.82
Almenar,1984,62.07,34.35
Almenar,1988,63.42,28.03
Almenar,1992,70.32,26.76
Almenar,1995,70.78,29.11
Almenar,1999,65.63,33.43
Almenar,2003,62.73,36.78
Almenar,2006,64.62,34.7
Almenar,2010,62.6,27.88
Almenar,2012,71.66,24.76
Almenar,2015,71.64,23.9
Almoster,1980,47.85,22.49
Almoster,1984,73,25.74
Almoster,1988,77.29,17.53
Almoster,1992,74.35,23.79
Almoster,1995,65.84,33.91
Almoster,1999,70.14,28.24
Almoster,2003,68.77,30.51
Almoster,2006,64.3,33.28
Almoster,2010,58.15,24.02
Almoster,2012,70.59,25.74
Almoster,2015,73.24,23.99
Alòs de Balaguer,1980,27.16,7.41
Alòs de Balaguer,1984,90.68,7.63
Alòs de Balaguer,1988,87.29,11.86
Alòs de Balaguer,1992,97.5,1.67
Alòs de Balaguer,1995,88.28,11.72
Alòs de Balaguer,1999,92.65,7.35
Alòs de Balaguer,2003,86.54,13.46
Alòs de Balaguer,2006,85.98,14.02
Alòs de Balaguer,2010,77.5,11.25
Alòs de Balaguer,2012,93.67,3.8
Alòs de Balaguer,2015,92.47,5.38
Alp,1980,55.28,15.56
Alp,1984,85.45,13.85
Alp,1988,77.54,17.49
Alp,1992,78.22,19.67
Alp,1995,68.56,30.22
Alp,1999,67.8,30.3
Alp,2003,66.77,30.81
Alp,2006,69.31,27.99
Alp,2010,66.29,19.66
Alp,2012,77.2,17.82
Alp,2015,76.28,20.04
Alpens,1980,56.52,10.87
Alpens,1984,85.62,8.5
Alpens,1988,80.99,17.61
Alpens,1992,89.73,10.27
Alpens,1995,81.82,17.58
Alpens,1999,84.8,12.87
Alpens,2003,89.67,10.33
Alpens,2006,84.66,15.34
Alpens,2010,71.82,10.5
Alpens,2012,89.67,6.57
Alpens,2015,93.58,3.67
Alpicat,1980,33.15,33.63
Alpicat,1984,18.19,18.41
Alpicat,1988,57.3,35.26
Alpicat,1992,65.32,31.63
Alpicat,1995,66.45,32.78
Alpicat,1999,62.14,35.42
Alpicat,2003,61.25,37.91
Alpicat,2006,58.13,40.59
Alpicat,2010,60.44,30.79
Alpicat,2012,62.94,32.57
Alpicat,2015,62.13,32.95
Alt Àneu,1980,58.91,13.18
Alt Àneu,1984,85.03,9.58
Alt Àneu,1988,75.98,12.29
Alt Àneu,1992,81.98,15.7
Alt Àneu,1995,65.88,34.12
Alt Àneu,1999,49.34,49.78
Alt Àneu,2003,52.42,47.58
Alt Àneu,2006,53.51,45.18
Alt Àneu,2010,54.11,38.53
Alt Àneu,2012,82.94,14.68
Alt Àneu,2015,86.12,13.17
Altafulla,1980,27.46,33.1
Altafulla,1984,62.98,34.55
Altafulla,1988,56.62,36.48
Altafulla,1992,60.96,33.37
Altafulla,1995,56.87,42.73
Altafulla,1999,50.59,47.41
Altafulla,2003,49.44,50.06
Altafulla,2006,47.46,50.36
Altafulla,2010,44.93,45.13
Altafulla,2012,50.48,43.54
Altafulla,2015,53.25,42.88
Amer,1980,57.13,26.29
Amer,1984,73.05,23.61
Amer,1988,73.99,22.35
Amer,1992,82.55,14.8
Amer,1995,75.86,23.64
Amer,1999,76.85,21.66
Amer,2003,73.18,25.74
Amer,2006,73.24,24.53
Amer,2010,69.18,16.53
Amer,2012,82.58,13.5
Amer,2015,85.21,12.44
"Ametlla de Mar, l'",1980,23.63,29.44
"Ametlla de Mar, l'",1984,70.56,27.69
"Ametlla de Mar, l'",1988,69.57,25.08
"Ametlla de Mar, l'",1992,55.96,40.39
"Ametlla de Mar, l'",1995,65.06,34.71
"Ametlla de Mar, l'",1999,62.88,35.3
"Ametlla de Mar, l'",2003,64.82,34.7
"Ametlla de Mar, l'",2006,64.58,33.85
"Ametlla de Mar, l'",2010,65.09,27.56
"Ametlla de Mar, l'",2012,65.27,30.44
"Ametlla de Mar, l'",2015,65.17,31.29
"Ametlla del Vallès, l'",1980,60,25.12
"Ametlla del Vallès, l'",1984,77.17,20.3
"Ametlla del Vallès, l'",1988,76.33,20.38
"Ametlla del Vallès, l'",1992,79.47,18.34
"Ametlla del Vallès, l'",1995,70.57,28.94
"Ametlla del Vallès, l'",1999,63.07,34.94
"Ametlla del Vallès, l'",2003,61.88,37.25
"Ametlla del Vallès, l'",2006,61.04,37.25
"Ametlla del Vallès, l'",2010,59.01,28.32
"Ametlla del Vallès, l'",2012,66.19,28.36
"Ametlla del Vallès, l'",2015,66.43,29.77
"Ampolla, l'",1992,65.24,31.57
"Ampolla, l'",1995,67.01,32.58
"Ampolla, l'",1999,72.99,25.34
"Ampolla, l'",2003,74.11,25.63
"Ampolla, l'",2006,69.95,28.22
"Ampolla, l'",2010,63.52,28.85
"Ampolla, l'",2012,67.93,28.41
"Ampolla, l'",2015,65.45,30.84
Amposta,1980,18.23,45.92
Amposta,1984,46.5,41.14
Amposta,1988,50.06,38.79
Amposta,1992,61.9,31.34
Amposta,1995,62.48,36.96
Amposta,1999,64.6,33.3
Amposta,2003,68.81,30.16
Amposta,2006,61.68,36.53
Amposta,2010,59.99,30.33
Amposta,2012,63.96,29.74
Amposta,2015,61.64,34.87
Anglès,1980,53.93,35.44
Anglès,1984,71.43,25.47
Anglès,1988,67.98,27.46
Anglès,1992,73.68,23.94
Anglès,1995,71.92,27.73
Anglès,1999,71.36,26.83
Anglès,2003,70.99,27.83
Anglès,2006,67.47,30.54
Anglès,2010,63.16,21.62
Anglès,2012,75.42,18.92
Anglès,2015,80.72,16.79
Anglesola,1980,49.04,19.54
Anglesola,1984,78.05,17.99
Anglesola,1988,76.47,20.74
Anglesola,1992,79.31,17.22
Anglesola,1995,75.89,23.86
Anglesola,1999,74.01,24.76
Anglesola,2003,78.18,21.31
Anglesola,2006,74.75,24.96
Anglesola,2010,66.87,21.89
Anglesola,2012,78.46,17.28
Anglesola,2015,76.08,16.03
Arbeca,1980,30.49,40.92
Arbeca,1984,51.81,39.44
Arbeca,1988,46.82,51.76
Arbeca,1992,50.39,49.14
Arbeca,1995,55.43,44.49
Arbeca,1999,53.86,45.6
Arbeca,2003,57.47,42.24
Arbeca,2006,54.71,44.95
Arbeca,2010,53.32,37.08
Arbeca,2012,70.3,26.65
Arbeca,2015,79.11,18.99
"Arboç, l'",1980,38.83,43.1
"Arboç, l'",1984,48.39,45.48
"Arboç, l'",1988,46.36,47.71
"Arboç, l'",1992,50.9,44.55
"Arboç, l'",1995,51.8,46.88
"Arboç, l'",1999,45.17,53.18
"Arboç, l'",2003,48.94,50.17
"Arboç, l'",2006,47.69,49.86
"Arboç, l'",2010,42.38,44.47
"Arboç, l'",2012,45.47,48.67
"Arboç, l'",2015,41.51,54.93
Arbolí,1980,63.04,8.7
Arbolí,1984,88.64,9.09
Arbolí,1988,87.69,10.77
Arbolí,1992,83.54,11.39
Arbolí,1995,79.55,20.45
Arbolí,1999,74.67,24
Arbolí,2003,76.06,22.54
Arbolí,2006,74.24,22.73
Arbolí,2010,75.31,17.28
Arbolí,2012,95.12,3.66
Arbolí,2015,95.05,3.96
Arbúcies,1980,62.24,18.15
Arbúcies,1984,78.7,16.46
Arbúcies,1988,77.74,18.74
Arbúcies,1992,84.57,12.51
Arbúcies,1995,78.34,20.83
Arbúcies,1999,78.06,18.87
Arbúcies,2003,75.86,23.34
Arbúcies,2006,69.25,27.84
Arbúcies,2010,64.44,17.54
Arbúcies,2012,78.57,13.74
Arbúcies,2015,84.38,13.27
Arenys de Mar,1980,49.09,33.49
Arenys de Mar,1984,63.57,33.97
Arenys de Mar,1988,59.69,36.38
Arenys de Mar,1992,65.47,31.69
Arenys de Mar,1995,62.83,36.55
Arenys de Mar,1999,59.6,38.72
Arenys de Mar,2003,60,39.24
Arenys de Mar,2006,55.99,41.72
Arenys de Mar,2010,55.39,32.83
Arenys de Mar,2012,63.43,31.9
Arenys de Mar,2015,63.64,32.83
Arenys de Munt,1980,68.56,20.02
Arenys de Munt,1984,77.65,17.84
Arenys de Munt,1988,74.01,23.23
Arenys de Munt,1992,77.82,20.25
Arenys de Munt,1995,73.53,25.95
Arenys de Munt,1999,69.23,29.62
Arenys de Munt,2003,68.02,30.98
Arenys de Munt,2006,64.63,33.48
Arenys de Munt,2010,60.28,24.13
Arenys de Munt,2012,70.66,23.21
Arenys de Munt,2015,71.98,24.88
Argelaguer,1980,37.56,36.62
Argelaguer,1984,71.43,26.11
Argelaguer,1988,63.59,28.16
Argelaguer,1992,75.65,21.24
Argelaguer,1995,74.37,25.13
Argelaguer,1999,74.36,22.05
Argelaguer,2003,72,26.22
Argelaguer,2006,67.66,28.86
Argelaguer,2010,56,23
Argelaguer,2012,82.33,13.91
Argelaguer,2015,87.76,9.79
Argençola,1980,26.79,19.64
Argençola,1984,91.89,8.11
Argençola,1988,97.26,2.74
Argençola,1992,97.47,2.53
Argençola,1995,76.64,20.56
Argençola,1999,81.82,16.53
Argençola,2003,80.67,15.97
Argençola,2006,72.81,24.56
Argençola,2010,67.62,22.86
Argençola,2012,81.97,15.57
Argençola,2015,84.35,8.84
"Argentera, l'",1980,35.87,31.52
"Argentera, l'",1984,64.13,33.7
"Argentera, l'",1988,67.44,25.58
"Argentera, l'",1992,70.27,24.32
"Argentera, l'",1995,74.44,24.44
"Argentera, l'",1999,70.24,27.38
"Argentera, l'",2003,75,24
"Argentera, l'",2006,69.39,28.57
"Argentera, l'",2010,52.22,30
"Argentera, l'",2012,78.76,16.81
"Argentera, l'",2015,86.21,10.34
Argentona,1980,49.68,27.41
Argentona,1984,65.7,29.11
Argentona,1988,64.92,30.65
Argentona,1992,70.65,25.52
Argentona,1995,63.15,35.96
Argentona,1999,59.71,37.92
Argentona,2003,60.03,37.85
Argentona,2006,57.96,39.72
Argentona,2010,56.91,31.84
Argentona,2012,60.57,34.34
Argentona,2015,59.32,36.84
"Armentera, l'",1980,41.42,37.34
"Armentera, l'",1984,71.7,25.32
"Armentera, l'",1988,69.5,28.54
"Armentera, l'",1992,78.43,20.7
"Armentera, l'",1995,70.06,29.94
"Armentera, l'",1999,70.69,28.9
"Armentera, l'",2003,70.76,27.97
"Armentera, l'",2006,64.73,32.37
"Armentera, l'",2010,58.97,24.79
"Armentera, l'",2012,83.95,13.89
"Armentera, l'",2015,83.99,12.05
Arnes,1980,62.91,6.87
Arnes,1984,90.2,7.52
Arnes,1988,85.11,12.77
Arnes,1992,90.11,8.56
Arnes,1995,89.53,10.47
Arnes,1999,79.72,19.44
Arnes,2003,88.86,10.88
Arnes,2006,89.32,10.14
Arnes,2010,88.41,6.67
Arnes,2012,93.69,5.41
Arnes,2015,80.36,12.2
Arres,1980,60,20
Arres,1984,48.15,37.04
Arres,1988,46.15,46.15
Arres,1992,54.84,45.16
Arres,1995,64.86,35.14
Arres,1999,55.17,41.38
Arres,2003,43.33,53.33
Arres,2006,71.43,28.57
Arres,2010,50,50
Arres,2012,40.54,59.46
Arres,2015,33.33,66.67
Arsèguel,1980,30,28
Arsèguel,1984,64.81,31.48
Arsèguel,1988,65.91,27.27
Arsèguel,1992,71.43,22.45
Arsèguel,1995,82.81,17.19
Arsèguel,1999,81.82,18.18
Arsèguel,2003,83.02,16.98
Arsèguel,2006,74.51,25.49
Arsèguel,2010,68.75,16.67
Arsèguel,2012,92.68,2.44
Arsèguel,2015,95.92,4.08
Artés,1980,49.58,26.11
Artés,1984,80.45,15.64
Artés,1988,73.8,23.8
Artés,1992,73.94,23.57
Artés,1995,72.31,27.04
Artés,1999,66.54,31.48
Artés,2003,67.47,31.54
Artés,2006,63.02,34.51
Artés,2010,57.82,25.75
Artés,2012,72.34,21.73
Artés,2015,70.25,26.63
Artesa de Lleida,1980,27.03,31.84
Artesa de Lleida,1984,56.18,37.4
Artesa de Lleida,1988,50.74,37.73
Artesa de Lleida,1992,69.13,27.85
Artesa de Lleida,1995,63.35,36.25
Artesa de Lleida,1999,60.51,36.28
Artesa de Lleida,2003,68.72,30.88
Artesa de Lleida,2006,65.55,33.33
Artesa de Lleida,2010,63.8,22.39
Artesa de Lleida,2012,79.42,18.57
Artesa de Lleida,2015,78.77,18.48
Artesa de Segre,1980,50.33,15.85
Artesa de Segre,1984,79.73,18.58
Artesa de Segre,1988,73.25,21.8
Artesa de Segre,1992,78.47,19.27
Artesa de Segre,1995,76.83,22.9
Artesa de Segre,1999,74.97,23.78
Artesa de Segre,2003,78.17,20.93
Artesa de Segre,2006,74.39,24.58
Artesa de Segre,2010,66.45,20.31
Artesa de Segre,2012,82.47,14.05
Artesa de Segre,2015,79.21,16.06
Ascó,1980,23.1,32.44
Ascó,1984,53.03,41.7
Ascó,1988,60.83,31.55
Ascó,1992,61.57,34.26
Ascó,1995,61.68,37.59
Ascó,1999,58.23,38.56
Ascó,2003,62.41,36.65
Ascó,2006,57.8,40.87
Ascó,2010,53.19,40.42
